Shipment Attribution,Barcode,Quantity Remaining,MRP,Cost Price,Minimum Price,Shelf Score,Date of Shelving,Expiry Date
240702DA,9366403560281,177,398.69,347.78,365.169,0.890125363372093,2024-07-02,2024-09-26
240702DB,1530281751828,118,174.5,113.68,119.36400000000002,0.8242321275684932,2024-07-02,2025-04-20
240702DC,9341222702392,234,207.46,183.9,193.09500000000003,0.7893795938886834,2024-07-02,2024-12-18
240625CA,7417081143053,307,46.68,37.18,39.039,0.9504172585227273,2024-06-25,2025-06-23
240625CB,5756935329189,28,412.49,278.58,292.509,0.7544520178506541,2024-06-25,2024-09-19
240208EA,1921407170452,290,121.15,100.43,105.45150000000001,0.8961865552473535,2024-02-08,2024-12-11
240321BA,1530281751828,399,174.5,127.79,134.17950000000002,0.9480846774193549,2024-03-21,2024-06-22
240321BB,3922480347697,331,341.62,230.89,242.43449999999999,0.8162878787878788,2024-03-21,2024-04-23
240321BC,2764870889303,282,485.66,313.69,329.3745,0.8036892310121007,2024-03-21,2026-01-15
240321BD,7111402598169,426,253.79,211.29,221.8545,0.8822820579191767,2024-03-21,2024-11-25
240928BA,7534112261015,126,295.41,205.46,215.733,0.986508530836839,2024-09-28,2025-06-15
240928BB,5966087203573,147,467.15,402.41,422.5305,0.9907776125901038,2024-09-28,2025-07-03
240928BC,6768130244551,425,418.41,257.02,269.871,0.9882307172320378,2024-09-28,2026-01-19
240928BD,5524031117940,293,310.66,264.31,277.5255,0.969375,2024-09-28,2024-10-23
240928BE,5966087203573,121,467.15,311.71,327.2955,0.7657335069444444,2024-09-28,2024-12-09
240402EA,4243802214885,199,321.05,257.08,269.93399999999997,0.6958179508493081,2024-04-02,2025-10-05
240402EB,9471443645365,189,492.25,328.89,345.3345,0.7647058823529411,2024-04-02,2024-05-06
240218AA,1081846168108,252,431.55,356.55,374.37750000000005,0.0,2024-02-18,2023-12-20
240218AB,8650517934553,114,363.42,297.23,312.09150000000005,0.3188624762879393,2024-02-18,2024-12-27
240218AC,8295015923248,213,460.74,345.35,362.61750000000006,0.46005328634510867,2024-02-18,2025-01-28
241004EA,1440710811309,262,25.28,16.62,17.451,0.9998779296875,2024-10-04,2024-10-29
240610AA,7417081143053,407,46.68,32.26,33.873,0.7673851493094288,2024-06-10,2025-12-05
240610AB,7111402598169,123,253.79,157.03,164.88150000000002,0.7667184908240274,2024-06-10,2026-01-20
240610AC,9099746266551,33,445.68,310.26,325.773,0.8182731093587102,2024-06-10,2026-01-23
240610AD,1904792486473,276,485.11,337.35,354.21750000000003,0.9149816176470589,2024-06-10,2024-08-17
240706BA,7118631998839,390,114.2,95.21,99.9705,0.9056527273995536,2024-07-06,2024-12-21
240706BB,5756935329189,185,412.49,271.81,285.4005,0.8990257667589792,2024-07-06,2025-08-05
240706BC,4651387619190,2,181.26,131.15,137.7075,0.6133661379759339,2024-07-06,2024-12-27
240221DA,4243802214885,142,321.05,246.05,258.3525,0.9506014807749603,2024-02-21,2025-12-01
240221DB,6874779065864,210,413.01,263.23,276.3915,0.46280604084645666,2024-02-21,2024-11-01
240221DC,7538675410397,425,220.23,152.88,160.524,0.523971152360665,2024-02-21,2025-04-29
240221DD,7193208938982,468,75.87,56.52,59.346000000000004,0.0,2024-02-21,2024-01-28
240519CA,2676489428461,143,56.63,42.27,44.383500000000005,0.8260431320044646,2024-05-19,2024-10-23
240529EA,6768130244551,278,418.41,347.59,364.9695,0.8311155034784685,2024-05-29,2025-03-10
240529EB,4426249772873,52,50.01,32.56,34.188,0.8825157221763666,2024-05-29,2025-07-10
240529EC,9792841352355,176,76.59,57.7,60.58500000000001,0.0,2024-05-29,2024-03-31
240529ED,2168494776151,283,308.87,243.61,255.79050000000004,0.7341830421040076,2024-05-29,2024-10-07
240128AA,7193208938982,169,75.87,56.11,58.9155,0.3004140246277701,2024-01-28,2025-01-23
240128AB,4651387619190,141,181.26,129.26,135.72299999999998,0.0,2024-01-28,2023-12-22
240128AC,7477584351590,218,309.82,239.63,251.6115,0.6279931006493507,2024-01-28,2024-09-15
240128AD,1366803933780,470,220.48,168.26,176.673,0.396139705882353,2024-01-28,2024-04-05
240128AE,7193208938982,88,75.87,47.18,49.539,0.636015709279624,2024-01-28,2025-10-10
240720BA,1110475018705,132,83.67,55.16,57.918,0.8353247088445744,2024-07-20,2026-02-08
240720BB,3442852944505,358,240.4,146.85,154.1925,0.784541924794515,2024-07-20,2025-01-28
241227CA,8118777908898,37,28.11,17.83,18.7215,0.0,2024-12-27,2024-12-09
241227CB,7009664627837,207,292.8,231.95,243.54749999999999,0.9999923706054688,2024-12-27,2026-04-09
241227CC,2646305542863,322,83.69,61.72,64.806,0.999755859375,2024-12-27,2026-06-25
241227CD,7438552944490,126,215.26,142.26,149.373,0.9999923706054688,2024-12-27,2026-04-09
240719DA,1374644357806,387,202.07,129.6,136.08,0.5955429777092889,2024-07-19,2025-02-22
240719DB,2764870889303,21,485.66,432.63,454.2615,0.8620855132145668,2024-07-19,2025-04-13
240719DC,2168494776151,200,308.87,274.23,287.9415,0.9038175714956581,2024-07-19,2026-04-01
240719DD,7909647285748,139,435.69,316.85,332.69250000000005,0.984375,2024-07-19,2024-07-25
240527BA,1921407170452,0,121.15,73.7,77.385,0.901274990028059,2024-05-27,2025-12-16
240527BB,3801660182303,147,355.28,304.1,319.30500000000006,0.96875,2024-05-27,2024-06-02
240527BC,7538675410397,250,220.23,159.31,167.27550000000002,0.9549216658980758,2024-05-27,2025-11-18
240527BD,8493556002921,175,403.34,249.66,262.14300000000003,0.6897212925842542,2024-05-27,2025-01-19
240306BA,6768130244551,254,418.41,318.83,334.7715,0.0,2024-03-06,2023-12-13
241202DA,1885386949733,438,55.98,49.34,51.80700000000001,0.9711103606642338,2024-12-02,2025-01-28
241202DB,2168494776151,74,308.87,257.73,270.61650000000003,0.998046875,2024-12-02,2025-10-05
241202DC,9366403560281,193,398.69,294.07,308.7735,0.999935330526215,2024-12-02,2026-06-26
241202DD,1904792486473,171,485.11,390.4,409.92,0.99993896484375,2024-12-02,2024-12-14
241202DE,9099746266551,354,445.68,301.81,316.9005,0.9999426882803155,2024-12-02,2026-01-24
240426CA,3801660182303,410,355.28,313.09,328.74449999999996,0.8697453582635983,2024-04-26,2025-08-17
240907DA,4852979716602,128,53.02,33.2,34.86000000000001,0.9104554223232582,2024-09-07,2025-01-07
240907DB,6079913241894,349,479.81,388.96,408.408,0.9986102764423077,2024-09-07,2024-09-20
240907DC,9679955033493,335,31.17,20.84,21.882,0.9442093556722005,2024-09-07,2025-09-17
240602CA,9133603908014,370,348.85,276.28,290.094,0.9058994164213466,2024-06-02,2024-12-26
240602CB,8650517934553,0,363.42,254.4,267.12,0.9760867082155668,2024-06-02,2025-07-23
240223BA,9320526500374,278,215.58,148.99,156.4395,0.875,2024-02-23,2024-03-26
240223BB,1489716693439,310,397.04,297.22,312.081,0.721380921803653,2024-02-23,2025-05-06
241213EA,2974785865598,268,311.37,215.75,226.53750000000002,0.998046875,2024-12-13,2025-03-23
241213EB,8650517934553,13,363.42,268.25,281.6625,0.9999998807907104,2024-12-13,2026-04-04
241213EC,7534112261015,328,295.41,193.0,202.65,0.999999371585467,2024-12-13,2025-05-13
240610DA,6079913241894,38,479.81,298.63,313.5615,0.937453920478063,2024-06-10,2026-02-04
240610DB,3046223091366,32,373.29,238.31,250.2255,0.6751342311982186,2024-06-10,2024-11-12
240610DC,1081846168108,380,431.55,312.25,327.8625,0.7781695747375488,2024-06-10,2025-02-15
240610DD,4651387619190,133,181.26,128.33,134.74650000000003,0.9537935561028079,2024-06-10,2025-05-21
240106AA,4887387328514,63,59.52,49.99,52.48950000000001,0.5818984087775735,2024-01-06,2024-10-04
240106AB,3801660182303,95,355.28,246.81,259.1505,0.5367647058823529,2024-01-06,2024-02-26
240106AC,4243802214885,273,321.05,260.6,273.63000000000005,0.0,2024-01-06,2023-12-20
240201CA,2081796341037,44,210.19,170.71,179.24550000000002,0.0,2024-02-01,2024-01-30
240201CB,7784851719923,332,21.64,15.46,16.233,0.9350754310344828,2024-02-01,2024-03-30
240201CC,6695212836394,334,355.52,244.07,256.2735,0.8422141495872946,2024-02-01,2025-03-15
240201CD,2005707746631,203,488.48,305.87,321.1635,0.6203414697966507,2024-02-01,2025-03-25
240201CE,2668380592920,367,425.92,324.82,341.06100000000004,0.8494546611657303,2024-02-01,2025-04-21
241209BA,3019733334840,206,160.71,127.51,133.8855,0.999969482421875,2024-12-09,2026-01-13
241209BB,3270110394259,96,276.68,204.78,215.019,0.0,2024-12-09,2024-11-25
241209BC,2646305542863,212,83.69,59.7,62.685,0.911669921875,2024-12-09,2025-01-18
240624CA,9133603908014,173,348.85,263.41,276.58050000000003,0.9372714382785183,2024-06-24,2025-04-06
240624CB,7442652072221,399,325.21,266.64,279.972,0.6615101582295186,2024-06-24,2025-02-01
240223BA,4887387328514,388,59.52,37.71,39.5955,0.6671316964285714,2024-02-23,2024-08-23
240327CA,7477584351590,429,309.82,195.74,205.52700000000002,0.2770182291666667,2024-03-27,2024-09-23
240327CB,4887387328514,369,59.52,44.18,46.389,0.0,2024-03-27,2024-01-05
240327CC,4243802214885,358,321.05,275.45,289.2225,0.4473697437959559,2024-03-27,2024-10-17
240327CD,5573515979800,101,279.12,229.01,240.4605,0.0,2024-03-27,2024-02-10
240327CE,3442852944505,428,240.4,213.65,224.3325,0.7049702272576801,2024-03-27,2025-11-07
241119EA,3019733334840,58,160.71,99.85,104.8425,0.9993223852040816,2024-11-19,2025-12-16
241119EB,9679955033493,466,31.17,19.64,20.622,0.999969482421875,2024-11-19,2026-02-15
241119EC,1440710811309,294,25.28,19.66,20.643,0.9999923706054688,2024-11-19,2025-06-27
241119ED,9679955033493,432,31.17,27.56,28.938,0.9508696056547619,2024-11-19,2024-12-31
241119EE,5573515979800,370,279.12,170.67,179.2035,0.9996651359226393,2024-11-19,2025-11-22
240510AA,2168494776151,380,308.87,233.27,244.9335,0.5370244844206449,2024-05-10,2025-02-24
240510AB,1366803933780,148,220.48,184.32,193.536,0.7348041504714348,2024-05-10,2025-03-27
241023DA,9679955033493,452,31.17,25.2,26.46,0.9958089192708334,2024-10-23,2024-12-16
241023DB,1374644357806,96,202.07,144.21,151.4205,0.9499044199458888,2024-10-23,2025-08-24
241023DC,3046223091366,301,373.29,307.71,323.0955,0.9866131303648069,2024-10-23,2025-06-13
241023DD,7009664627837,142,292.8,202.77,212.90850000000003,0.9998952606577932,2024-10-23,2025-09-12
241015DA,5966087203573,56,467.15,287.03,301.38149999999996,0.9123599524288935,2024-10-15,2026-02-06
241015DB,1489716693439,282,397.04,296.31,311.1255,0.0,2024-10-15,2024-08-18
240805AA,3046223091366,337,373.29,230.62,242.151,0.8879505383428381,2024-08-05,2025-05-19
241126CA,5334981206381,252,328.76,266.97,280.31850000000003,0.9990234375,2024-11-26,2025-05-10
241126CB,9320526500374,371,215.58,149.5,156.975,0.9999661415501645,2024-11-26,2026-03-16
241126CC,2974785865598,160,311.37,266.33,279.6465,0.9539321096319902,2024-11-26,2024-12-15
241126CD,8986011122048,374,148.61,115.29,121.05450000000002,0.984375,2024-11-26,2025-11-21
241126CE,1887140245119,145,47.43,40.46,42.483000000000004,0.9993730742355873,2024-11-26,2026-03-05
240609AA,5524031117940,395,310.66,268.38,281.79900000000004,0.0,2024-06-09,2024-04-29
240609AB,6768130244551,378,418.41,293.67,308.35350000000005,0.9745753426002628,2024-06-09,2025-12-08
241202EA,7538675410397,111,220.23,136.52,143.346,0.0,2024-12-02,2024-11-24
241202EB,7009664627837,94,292.8,221.72,232.806,0.9999847412109375,2024-12-02,2024-12-08
241202EC,9471443645365,31,492.25,397.76,417.648,0.9999923706054688,2024-12-02,2026-09-01
241022AA,7009664627837,219,292.8,233.24,244.90200000000002,0.9837749973657274,2024-10-22,2026-03-25
241022AB,2668380592920,443,425.92,347.08,364.434,0.0,2024-10-22,2024-10-16
240507AA,3270110394259,242,276.68,210.0,220.5,0.8766526442307693,2024-05-07,2024-06-28
240116BA,9882839546088,161,245.8,166.16,174.46800000000002,0.4271164190573771,2024-01-16,2024-11-16
240116BB,4799124724315,177,181.18,135.87,142.6635,0.68442697758504,2024-01-16,2025-06-30
240116BC,3270110394259,408,276.68,192.75,202.38750000000002,0.571875,2024-01-16,2024-03-16
240116BD,6400454451965,49,424.14,317.78,333.669,0.05508474576271183,2024-01-16,2024-03-15
240416CA,4651387619190,309,181.26,110.37,115.88850000000001,0.6617214255136987,2024-04-16,2025-09-09
240126AA,3442852944505,32,240.4,172.69,181.3245,0.7905018879817083,2024-01-26,2025-03-17
240126AB,7477584351590,179,309.82,264.87,278.11350000000004,0.572509765625,2024-01-26,2024-06-02
240126AC,1374644357806,286,202.07,129.19,135.64950000000002,0.4384835561116537,2024-01-26,2025-02-01
240413AA,1110475018705,87,83.67,50.26,52.773,0.765805568555165,2024-04-13,2025-05-27
240413AB,7784851719923,277,21.64,13.71,14.395500000000002,0.0,2024-04-13,2024-02-01
241230DA,3019733334840,363,160.71,109.23,114.6915,0.9998779296875,2024-12-30,2025-11-27
241230DB,1887140245119,172,47.43,35.54,37.317,0.9999847412109375,2024-12-30,2025-07-16
241230DC,1904792486473,415,485.11,399.35,419.31750000000005,0.0,2024-12-30,2024-10-24
241230DD,1440710811309,171,25.28,22.18,23.289,0.99951171875,2024-12-30,2025-07-31
240329CA,8986011122048,201,148.61,121.91,128.0055,0.5784347534179688,2024-03-29,2025-02-12
240329CB,2974785865598,82,311.37,211.22,221.781,0.39051741853766486,2024-03-29,2024-11-02
240329CC,8068700962471,128,308.95,227.61,238.99050000000003,0.8001893939393939,2024-03-29,2024-05-01
240329CD,3922480347697,385,341.62,263.63,276.8115,0.8613543711917501,2024-03-29,2025-12-28
240329CE,9099746266551,453,445.68,317.41,333.2805,0.5982479674288734,2024-03-29,2025-09-27
240922EA,1319495204239,319,478.65,365.4,383.67,0.9883394652568339,2024-09-22,2026-01-22
240922EB,5112203895591,163,92.99,69.43,72.90150000000001,0.9921875,2024-09-22,2024-11-17
240922EC,5966087203573,37,467.15,369.64,388.122,0.0,2024-09-22,2024-06-21
240110CA,3046223091366,282,373.29,235.24,247.002,0.5629339891816869,2024-01-10,2025-04-07
240120BA,5112203895591,83,92.99,57.67,60.55350000000001,0.6680481604619115,2024-01-20,2025-01-31
240120BB,7538675410397,13,220.23,189.27,198.73350000000002,0.4367972956168071,2024-01-20,2024-10-13
240726DA,3922480347697,315,341.62,230.87,242.41350000000003,0.9523524076390595,2024-07-26,2025-12-17
240417BA,1081846168108,161,431.55,368.21,386.6205,0.7860204652526385,2024-04-17,2025-05-11
240417BB,1110475018705,82,83.67,55.84,58.632000000000005,0.6899857954545454,2024-04-17,2024-06-22
240417BC,7534112261015,41,295.41,185.56,194.83800000000002,0.4547292002925166,2024-04-17,2025-01-12
240417BD,9099746266551,330,445.68,283.21,297.3705,0.7827345796687875,2024-04-17,2026-02-14
240417BE,1319495204239,46,478.65,402.26,422.373,0.8895970394736842,2024-04-17,2024-08-28
240323EA,1374644357806,147,202.07,141.98,149.079,0.7024864783653846,2024-03-23,2024-09-21
240323EB,9550889811760,403,480.18,424.09,445.29449999999997,0.7019758474514279,2024-03-23,2025-09-08
240323EC,6874779065864,468,413.01,362.16,380.26800000000003,0.0,2024-03-23,2024-01-28
240206BA,2005707746631,200,488.48,321.1,337.15500000000003,0.713520986902026,2024-02-06,2025-03-02
240206BB,3270110394259,113,276.68,227.36,238.72800000000004,0.23855069788490857,2024-02-06,2024-07-19
240206BC,2081796341037,153,210.19,154.27,161.98350000000002,0.4532867973372781,2024-02-06,2024-07-24
240206BD,3922480347697,415,341.62,260.15,273.15749999999997,0.962116390304427,2024-02-06,2025-08-10
240206BE,8650517934553,157,363.42,262.96,276.108,0.0,2024-02-06,2024-02-10
240714DA,5334981206381,312,328.76,281.95,296.0475,0.8498558838321209,2024-07-14,2026-02-01
240714DB,1440710811309,375,25.28,19.79,20.7795,0.998046875,2024-07-14,2024-07-22
240714DC,9679955033493,159,31.17,26.35,27.667500000000004,0.0,2024-07-14,2024-03-29
240714DD,9133603908014,87,348.85,294.77,309.50849999999997,0.543492784687117,2024-07-14,2024-10-24
240714DE,7909647285748,301,435.69,365.77,384.0585,0.9990234375,2024-07-14,2025-01-30
240818AA,9550889811760,54,480.18,402.79,422.9295,0.9934895833333334,2024-08-18,2024-10-05
240818AB,1440710811309,107,25.28,22.65,23.7825,0.6770253057065218,2024-08-18,2024-12-11
240818AC,7009664627837,444,292.8,227.58,238.95900000000003,0.9995041032019198,2024-08-18,2026-02-20
240818AD,9341222702392,17,207.46,162.44,170.562,0.9382055411067034,2024-08-18,2025-02-27
240323DA,3270110394259,94,276.68,180.29,189.3045,0.21209016393442623,2024-03-23,2024-07-23
240911DA,9366403560281,369,398.69,352.96,370.608,0.9332692136046707,2024-09-11,2025-06-17
240911DB,1110475018705,76,83.67,56.35,59.167500000000004,0.9138383131760817,2024-09-11,2025-02-14
240331CA,7477584351590,428,309.82,243.0,255.15,0.557585685483871,2024-03-31,2024-08-02
240331CB,3019733334840,147,160.71,102.16,107.268,0.8124620752427185,2024-03-31,2025-05-17
240331CC,2764870889303,137,485.66,378.22,397.13100000000003,0.9899992766203703,2024-03-31,2024-05-24
240331CD,9341222702392,95,207.46,173.16,181.818,0.7226771266330166,2024-03-31,2025-05-26
240321EA,9133603908014,128,348.85,257.43,270.30150000000003,0.77880859375,2024-03-21,2025-03-05
240321EB,4651387619190,444,181.26,160.69,168.7245,0.6870249872622283,2024-03-21,2024-11-06
240321EC,8060776080538,354,432.33,357.79,375.6795,0.951189439073741,2024-03-21,2024-08-07
240822EA,8295015923248,115,460.74,381.13,400.1865,0.979759086996822,2024-08-22,2025-12-07
240822EB,9882839546088,358,245.8,152.97,160.6185,0.9593302408854167,2024-08-22,2025-02-18
240129EA,2646305542863,23,83.69,74.27,77.98349999999999,0.9353138247403232,2024-01-29,2025-08-01
240129EB,7009664627837,419,292.8,177.99,186.88950000000003,0.5,2024-01-29,2024-05-30
240715AA,3442852944505,328,240.4,195.33,205.09650000000002,0.0,2024-07-15,2024-05-07
240715AB,9320526500374,323,215.58,170.77,179.3085,0.9561533848970931,2024-07-15,2024-12-13
240715AC,7534112261015,287,295.41,180.71,189.74550000000002,0.6374491340562652,2024-07-15,2025-05-18
240718AA,4264705587768,181,305.69,184.8,194.04000000000002,0.9987479337216625,2024-07-18,2025-08-19
240718AB,9099746266551,421,445.68,395.84,415.632,0.8954426740875115,2024-07-18,2025-05-10
240718AC,7477584351590,184,309.82,238.52,250.44600000000003,0.992657515254334,2024-07-18,2024-12-02
240210EA,9882839546088,156,245.8,189.49,198.96450000000002,0.5077299836394075,2024-02-10,2025-03-01
240210EB,5573515979800,419,279.12,179.06,188.013,0.7289325842696629,2024-02-10,2024-05-09
240210EC,3922480347697,34,341.62,213.12,223.776,0.7255859375,2024-02-10,2024-12-22
240210ED,3270110394259,259,276.68,197.27,207.13350000000003,0.0,2024-02-10,2024-02-03
240501EA,3348353436381,248,337.58,217.79,228.6795,0.7276320409293127,2024-05-01,2025-06-01
240501EB,1885386949733,430,55.98,35.68,37.464,0.0,2024-05-01,2024-04-21
240501EC,5966087203573,120,467.15,307.95,323.3475,0.5842786372102649,2024-05-01,2025-02-27
240501ED,3348353436381,356,337.58,241.37,253.4385,0.798532196969697,2024-05-01,2024-09-10
240227BA,9366403560281,161,398.69,275.41,289.18050000000005,0.6671819196428572,2024-02-27,2025-02-11
240227BB,7784851719923,416,21.64,14.52,15.246,0.5054621292372881,2024-02-27,2024-06-24
240919AA,7534112261015,316,295.41,208.26,218.673,0.9757503408810747,2024-09-19,2026-02-18
240919AB,2668380592920,380,425.92,265.4,278.67,0.9427413246848366,2024-09-19,2025-01-07
240511BA,4887387328514,45,59.52,45.95,48.2475,0.6289569805194806,2024-05-11,2024-10-12
240511BB,1110475018705,123,83.67,62.37,65.4885,0.7960365395796927,2024-05-11,2025-05-26
240627EA,2764870889303,345,485.66,349.06,366.51300000000003,0.9949512386322021,2024-06-27,2025-11-09
240627EB,7477584351590,140,309.82,209.44,219.912,0.0,2024-06-27,2024-04-03
240627EC,1530281751828,36,174.5,125.9,132.19500000000002,0.9919992557474386,2024-06-27,2025-12-14
240627ED,2168494776151,409,308.87,243.74,255.92700000000002,0.9228213129957256,2024-06-27,2026-02-25
240627EE,1904792486473,341,485.11,404.35,424.56750000000005,0.8333926749440421,2024-06-27,2025-09-22
240424EA,9679955033493,415,31.17,24.32,25.536,0.9726383811549136,2024-04-24,2025-01-15
240424EB,1366803933780,142,220.48,188.22,197.631,0.0,2024-04-24,2024-03-08
240424EC,1366803933780,376,220.48,184.07,193.2735,0.6514234298314803,2024-04-24,2025-01-22
240424ED,6695212836394,267,355.52,311.45,327.0225,0.7337495383695785,2024-04-24,2025-09-19
240424EE,5334981206381,371,328.76,278.11,292.01550000000003,0.9278180605080736,2024-04-24,2025-08-29
240317EA,4426249772873,194,50.01,42.55,44.6775,0.5673070768030679,2024-03-17,2025-07-22
240317EB,7784851719923,187,21.64,19.34,20.307000000000002,0.5,2024-03-17,2024-04-29
240602DA,7477584351590,383,309.82,195.95,205.7475,0.9937455291120113,2024-06-02,2025-10-01
240602DB,9471443645365,235,492.25,360.94,378.987,0.4166666666666667,2024-06-02,2024-06-08
240602DC,6695212836394,343,355.52,269.77,283.25849999999997,0.9713541666666667,2024-06-02,2024-08-16
241029DA,9366403560281,255,398.69,285.03,299.2815,0.9957449776785714,2024-10-29,2025-06-10
241029DB,4651387619190,252,181.26,162.54,170.667,0.9462318764076576,2024-10-29,2025-06-08
240308BA,3046223091366,465,373.29,232.6,244.23000000000002,0.6888616557734204,2024-03-08,2025-06-10
